Name;ISIN;Anzahl;Kaufkurs;Waehrung
AMAZON.COM INC. DL-,01;US0231351067;60.0;135.68;EUR
APPLE INC.;US0378331005;44.0;138.44;EUR
BIONTECH SE SPON. ADRS 1;US09075V1026;153.0;78.72;EUR
CYBIN INC. O.N.;CA23256X4075;437.717833;2.55;EUR
LAM RESEARCH CORP. NEW;US5128073062;46.436576;89.67;EUR
NANOBIOTIX INH. EO-,03;FR0011341205;422.651764;9.66;EUR
PAN AMER. SILVER CORP.;CA6979001089;373.619933;19.17;EUR
PLUG POWER INC. DL-,01;US72919P2020;186.846038;0.57;EUR
RIVIAN AUTOMOT.A DL-,0001;US76954A1034;1800.0;8.34;EUR
SIEMENS ENERGY AG NA O.N.;DE000ENER6Y0;63.0;102.09;EUR
SPOTIFY TECH. S.A. EUR 1;LU1778762911;9.0;271.27;EUR
Solana;XF000SOL0012;8.678822;43.13;EUR
TESLA INC. DL -,001;US88160R1014;20.0;157.38;EUR
TTM TECHNOLOGIES DL-,001;US87305R1095;143.0;22.09;EUR
VALNEVA SE EO -,15;FR0004056851;1200.0;1.87;EUR
VIKING THERAPEUT.DL -,005;US92686J1060;400.332288;20.11;EUR
VISA;US92826C8394;30.0;188.61;EUR
VULCAN ENERGY RESOURCES;AU0000066086;4930.0;2.16;EUR
iShares Physical Gold ETC;IE00B4ND3602;399.723673;72.1;EUR
iShares Physical Silver ETC;IE00B4NCWG09;295.500957;75.67;EUR
